genre,rating,runtime,title,votes,year,ratingRange,runtimeRange
Drama,,,Sukha Dukha,,2004.0,,
History,,84.0,Kina Ma? 2019,,2019.0,,60-120
"Biography, Drama",8.4,,Teen Ghumti,14.0,2016.0,high,
"Drama, Romance",,,Saathi,,1998.0,,
Action,,,Commitment: 60 Hours,,,,
Documentary,,60.0,The Sound of Silence,,1996.0,,<60
"Drama, Sport",,,Hamro Team,,2011.0,,
Documentary,,55.0,Bhedako Oon Jasto,,2006.0,,<60
"Comedy, Drama",5.7,152.0,Resham Filili,102.0,2015.0,average,>120mins
Drama,8.5,90.0,KTM Cocktale,24.0,2017.0,high,60-120
Romance,,,Rahar,,1996.0,,
Drama,,90.0,Karma,,2006.0,,60-120
"Short, Adventure, Drama",7.0,18.0,The Contagious Apparitions of Dambarey Dendrite,11.0,2013.0,average,<60
Drama,,,Panchhi,,2001.0,,
"Short, Music",,5.0,Ketan Chettri: Lai Lai,,2018.0,,<60
"Documentary, Short",,40.0,Tibetan Illusion Destroyer,,,,<60
Horror,4.9,,Ek Din Ek Raat,7.0,2011.0,low,
Drama,,,Adalat,,2019.0,,
"Drama, Romance",,,Behuli,,1989.0,,
Drama,,,Ma Yesto Geet Gauchhu 2,,,,
Documentary,,84.0,Trembling Mountain,,2016.0,,60-120
,,,The Rickshaw Puller,,2002.0,,
Romance,7.2,126.0,Kohi Mero,12.0,2010.0,high,>120mins
"Documentary, Short, Drama",8.7,12.0,Parivara,6.0,2016.0,high,<60
"Short, Music",,,Pashupati Sharma: Lutna Sake Lut,,2019.0,,
"Action, Drama, Thriller",6.4,,Fanko,17.0,2016.0,average,
"Comedy, Drama",7.5,,Apabad,66.0,2012.0,high,
Comedy,,,Laure,,,,
,,,Afno Ghar Afno Manche,,2001.0,,
"Adventure, Family",,70.0,Bicycle Dreams,,2014.0,,60-120
Romance,7.9,163.0,Dhukdhuki,7.0,2000.0,high,>120mins
Drama,,,Boyfriend,,2019.0,,
Action,,120.0,Hero Returns,,2017.0,,60-120
"Short, Music",,,Hemant Rana: Nacha Maya,,2018.0,,
"Animation, Biography, Drama",7.7,55.0,The Legend of Shankhadhar,13.0,2016.0,high,<60
Drama,,,Saraswati,,1995.0,,
Romance,,,Bhool Bhulaiyaa,,2015.0,,
"Drama, Horror, Mystery",7.3,,Ber Pipal,7.0,2001.0,high,
Action,5.9,,Batch No.16,37.0,2011.0,average,
"Short, Drama, Thriller",,42.0,Between Matina,,2013.0,,<60
Action,,,The Karma,,2018.0,,
Documentary,,63.0,Seven Days in Nepal,,2017.0,,60-120
Drama,,,Antaral,,2013.0,,
"Documentary, Adventure",,101.0,Everest 3 Pass Trek,,2018.0,,60-120
Comedy,8.0,,Chankhe Shankhe Pankhe,6.0,2015.0,high,
,,,Krodh,,2006.0,,
"Drama, Family",7.7,88.0,Red Monsoon,16.0,2014.0,high,60-120
Drama,,,Himmat,,2008.0,,
Romance,,,Ke Ma Timro Hoina Ra,,2016.0,,
Action,,,Hairaan,,2017.0,,
"Drama, Romance",7.4,,Nai Nabhannu La 5,31.0,2018.0,high,
Drama,,,Mirga Trishna,,2012.0,,
Documentary,,52.0,Blue Kangling,,,,<60
Comedy,7.6,,Kohalpur Express,10.0,2018.0,high,
Crime,6.7,,Sambodhan,7.0,2015.0,average,
Drama,7.2,155.0,Love You Baba,10.0,2014.0,high,>120mins
Action,,,Jai Parshuram,,2016.0,,
Family,6.7,73.0,Serdhak,7.0,2015.0,average,60-120
"Comedy, Drama",7.1,110.0,Suntali,19.0,2014.0,high,60-120
"Short, Drama",,4.0,Transforming the Present,,2015.0,,<60
Drama,,129.0,Goodbye Kathmandu,,2017.0,,>120mins
,8.8,,Badal Paree,8.0,2001.0,high,
"Short, Drama",,13.0,The Moon is Bright Tonight,,2017.0,,<60
Thriller,,,Marina,,,,
Comedy,,,100 Kada 10,,2019.0,,
Action,,,Chunauti,,1996.0,,
"Drama, Romance",6.9,135.0,Kusume Rumal 2,27.0,2010.0,average,>120mins
"Documentary, Adventure, Drama",,108.0,Pasul Ascultarii,,,,60-120
Documentary,,80.0,So Flo Floods,,2017.0,,60-120
"Drama, Romance",,,Lahana,,2002.0,,
"Drama, Romance",,,K Yo Maya Ho,,2011.0,,
Drama,,,Pachhis Basanta,,1989.0,,
"Short, Drama, Family",7.8,30.0,Phulsiri,6.0,2016.0,high,<60
"Drama, Romance",8.3,,Dakshina,25.0,1993.0,high,
,7.9,,Kanchi,9.0,1984.0,high,
Drama,,,Dokh,,,,
,7.1,,Gaunthali,8.0,2001.0,high,
Drama,,,Birkhelai Chinchhas,,2014.0,,
"Drama, Romance",,,Bansuri,,1981.0,,
Drama,,,Kaha Bhetiyela,,2008.0,,
Documentary,,,Green Blood,,2013.0,,
Drama,,,Hifajat,,2010.0,,
Drama,,,Purano Bullet,,2019.0,,
Action,7.2,,Tandav,5.0,2014.0,high,
"Short, Drama",,26.0,Babu,,2019.0,,<60
,,,Yo Maya Ko Sagar,,2001.0,,
Drama,,,Jindagani,,2000.0,,
Romance,5.0,,Love Love Love,12.0,2017.0,low,
"Action, Drama",5.1,,Lalteen,7.0,2017.0,average,
Drama,,,Shiris ko Phool,,2012.0,,
Talk-Show,,26.0,The Human Face,,2014.0,,<60
Romance,,,Aadhi Beri,,1991.0,,
Action,,,King Returns,,2017.0,,
"Short, Drama",10.0,38.0,1 Percent,7.0,2012.0,high,<60
"Drama, Romance",6.8,,Karodpati,5.0,1997.0,average,
Documentary,,70.0,Project Rockin' High,,2016.0,,60-120
